"PMID","Year","Title","Abstract","FirstAuthor"
"41160708","2025","Mid- to long-term mechanical performance of left bundle branch area pacing: a comprehensive echocardiographic comparison of capture modalities.","Left bundle branch area pacing (LBBAP) electrical performance is well documented. Nevertheless, the long-term mechanical implications, and differences between left bundle branch pacing (LBBP) and left ventricular septal pacing (LVSP), remain unclear. This study assessed mechanical performance of LBBAP in a mid- to long-term post-implantation setting and compared capture types.

In this prospective, single-centre study, 88 patients with preserved left ventricular ejection fraction and successful LBBAP underwent paired echocardiography during intrinsic and paced rhythm (median 18 months post-implant). Two-dimensional, speckle-tracking and myocardial work (MW) indices were analysed. Adjusted linear mixed-effects models for repeated measures compared LBBAP vs. intrinsic rhythm and LBBP vs. LVSP differences. Independent predictors of changes in MW indices were sought with multivariate regression. Left bundle branch area pacing showed lower left ventricular volumes than intrinsic rhythm and a decrease in global longitudinal strain (16.2% vs. 16.8%, P = 0.040). Global constructive work (2232.8 vs. 2028.8 mmHg%, P < 0.001) and global wasted work (266.2 vs. 219.1 mmHg%, P = 0.003) were higher during pacing, without differences in global work index (1607.8 vs. 1536.7 mmHg%, P = 0.171) or global work efficiency (GWE) (88.3% vs. 89.3%, P = 0.092). Between LBBP (n = 63) and LVSP (n = 25), no statistically significant differences were found in any parameter after covariate adjustment (all P > 0.28). In multivariate analysis, LVSP independently predicted modest GWE decrease.

In patients with preserved LVEF, LBBAP maintains global mechanical performance comparable to intrinsic rhythm while increasing constructive and wasted work. Mechanical performance is largely similar between LBBP and LVSP, supporting the physiological value of LBBAP regardless of capture type.","Estévez Paniagua Álvaro"
"41140122","2025","QTcNet: a deep learning model for direct heart rate corrected QT interval estimation.","Automated QTc measurements from commercial ECG systems often diverge from expert readings. We developed QTcNet, a deep learning model trained and validated on multiple large ECG datasets to improve automated QTc measurement accuracy.

QTcNet employs a regression-based convolutional neural network architecture. It was trained on 120 300 algorithm-labelled ECGs (60 150 from an internal hospital cohort and 60 150 from the MIMIC-IV dataset) after correction for a vendor-specific +15 ms bias. Performance was evaluated against expert QTc measurements in three independent datasets: PTB Diagnostic ECG Database (n = 100 ECGs in validation set), QTcMS (n = 210), and ECGRDVQ (n = 5219). The effect of fine-tuning on cardiologist-annotated ECGs was tested in the PTB database (n = 449 in fine-tuning set). Model explainability analyses were performed with Integrated Gradient maps. QTcNet reduced cross-cohort mean absolute error (MAE) from 23.4 to 13.4 ms and root mean square error (RMSE) from 40.1 to 22.1 ms, almost halving large (>50 ms) outliers. Fine-tuning only reduced errors in the PTB dataset but did not improve cross-cohort performance. Integrated Gradient maps confirmed that the model concentrated on QRS onset and T wave offset, supporting physiological plausibility.

QTcNet, trained on large-scale algorithmically labelled data, consistently outperformed conventional algorithms across three independent, external validation datasets. Fine-tuning of QTcNet may adapt the model to the characteristics of specific cohorts but reduces external validity in other cohorts. We openly release the full model and code, along with a ready-to-use online implementation at https://qtcnet.uni-muenster.de, facilitating further research and community-driven improvement.","Plagwitz Lucas"
"40972594","2025","Dynamic changes of artificial intelligence estimated electrocardiographic age and sex predicts recurrence after atrial fibrillation catheter ablation.","N/A","Park Hanjin"
"40971505","2025","A novel ECG marker for predicting left bundle branch area pacing success in left bundle branch block: notch/slur to QRS end duration.","N/A","Cai Mengxing"
"40880214","2025","Two-year outcomes of left bundle branch area pacing versus traditional right ventricular pacing in middle-aged adults: a registry-based trial.","Prolonged right ventricular pacing (RVP) increases the risk of cardiomyopathy, atrial fibrillation, heart failure (HF), and mortality. This registry-based trial compared left bundle branch area pacing (LBBAP) with RVP in patients younger than 65 years.

Using the ConTempoRary Cardiac Stimulation in Clinical practicE: lEft, BivEntriculAr, Right, and conDuction System Pacing (TREEBEARD) registry (NCT06324682), patients were randomized 1:1 to LBBAP or RVP. The primary endpoint was a composite of cardiovascular (CV) death and HF hospitalization (HFH); secondary endpoints included individual components and all-cause mortality. A total of 344 patients (mean age 58.5 years, 215 males, 172 per arm) were included. At 2 years, the primary composite endpoint occurred in 6.3% of LBBAP vs. 12.7% of RVP patients (HR, 0.78; 95% CI, 0.59-0.87), representing a 22% risk reduction. Subgroup analyses aligned with primary findings. Left bundle branch area pacing significantly reduced HFH risk (HR, 0.79; 95% CI, 0.63-0.86) but showed no difference in CV mortality (HR, 1.02; 95% CI, 0.79-1.32) or all-cause mortality (HR, 1.00; 95% CI, 0.72-1.38).

Left bundle branch area pacing significantly lowered the 2-year composite of CV death and HFH compared to RVP in patients aged <65 years old. However, it did not reduce CV or all-cause mortality individually compared to RVP.

TREEBEARD (NCT06324682).","Bertini Matteo"
"40848259","2025","Conduction system pacing vs. biventricular pacing for cardiac resynchronization: the CSP-SYNC randomized single centre study.","There are limited prospective randomized studies comparing left bundle branch area pacing (LBBAP) and biventricular (BiV) pacing for cardiac resynchronization therapy (CRT). The study tested whether LBBAP is non-inferior to BiV pacing in patients with Class I indication for CRT.

The CSP-SYNC study is an investigator-initiated, randomized, single-centre study. Sixty-two patients were randomized 1:1 to LBBAP or BiV. The primary study endpoint was the change in left ventricular ejection fraction (LVEF) at 6 months. Secondary endpoints included changes in echo and clinical parameters after 6 months and 12 months. Thirty-one patients were randomized to each arm. Most patients were males (71%), and 32% had ischaemic cardiomyopathy. At 6 months, similar improvement of LVEF was observed in the LBBAP group compared to the BiV group [14.0% (95% confidence interval (CI): 11.2-16.8) in LBBAP vs. 8.5% (95% CI: 5.6-11.2) in BiV] with a mean intergroup difference of 5.6% (95% CI: 1.6-9.5; P < 0.001 for non-inferiority). Both groups showed comparable decrease in LVESV [-64 mL (95% CI: -78 to -50) vs. -40 mL (95% CI: -54 to -25) respectively, mean difference -24 mL (CI 95%: -44 to -4); P < 0.001 for non-inferiority] and changes in 6-min walk test (P < 0.001 for non-inferiority) and NYHA class (P = 0.011 for non-inferiority). Temporal trends of LV remodelling and heart failure hospitalization rates were also comparable.

In patients with a Class I indication for CRT, LBBAP was non-inferior to BiV pacing in improving LVEF and provided similar structural and electrical remodelling.","Žižek David"
"40795818","2025","Reliability of large language models for reviewing research with artificial intelligence in cardiac electrophysiology using the European Heart Rhythm Association artificial intelligence checklist.","N/A","Sluha Amalia"
"40726437","2025","Left bundle branch pacing in patients with structural heart disease: personalizing cardiac resynchronization therapy.","Biventricular pacing remains the cornerstone of cardiac resynchronization therapy (CRT) in patients with heart failure, with well-established benefits. Left bundle branch pacing (LBBP) offers a physiologic alternative by engaging the native conduction system to restore synchrony and has generated significant enthusiasm. However, the growing adoption of LBBP should be tempered by recognition that a one-size-fits-all approach may not address the underlying substrate, particularly in those with intraventricular conduction delay. While a less-than-optimal LBBP implant may be sufficient in bradycardia patients, its adequacy in heart failure patients, who may require more precise consideration of conduction disease, remains uncertain. This review gives a comprehensive framework for integrating LBBP into CRT, including pre-implant, intraprocedural, and post-implant assessment. It also provides practical guidance on when to pursue LBBP alone, when to supplement with a coronary sinus lead, and when to consider conventional biventricular pacing, with an emphasis on a personalized approach to the underlying conduction substrate for maximal therapeutic benefit.","Joza Jacqueline"
"40644356","2025","A comparative analysis of conduction system pacing and biventricular pacing in patients undergoing atrioventricular node ablation: a systematic review and meta-analysis.","Atrioventricular node ablation (AVNA) with permanent pacemaker implantation is an established rate-control treatment approach for patients with AF with uncontrolled ventricular rates. Conduction system pacing (CSP) utilizing His bundle pacing (HBP) or left bundle branch area pacing (LBBAP) has advanced as a treatment alternative to standard right ventricular pacing in addition to biventricular pacing (BVP). This systematic review and meta-analysis aim to provide a comprehensive summary and evaluation of clinical outcomes in the literature for CSP in comparison to BVP in conjunction with AVNA.

This study protocol was registered in the PROSPERO registry (CRD42024510974), and the review was conducted as per the PRISMA guidelines. Databases were searched for relevant studies from inception till 11 January 2024. Results were synthesized using a random effects meta-analysis. From a total of 259 references identified, 122 full texts were assessed, and 25 studies were included in the systematic review. Of these included studies, five were used for comparative meta-analysis. A total of 1652 (HBP 1069 and LBBAP 644) and 369 patients received CSP and BVP implantation with AVNA, respectively. Conduction system pacing resulted in a narrower QRS duration (QRSd) with a change of -35.8 ms (95% CI -61.8 to -9.72; P < 0.05; I2 = 96.3%) vs. BVP. Conduction system pacing also resulted in better symptomatic improvement in from of NYHA reduction (MD -0.53, 95% CI -1.01 to -0.04, I2 = 62.1; P = 0.03). For left ventricular ejection fraction, a non-significant weighted mean increases of 3.36% (95% CI -0.75-7.47%; P = 0.11, I2 = 68.5%) was observed following CSP implantation in comparison to BVP. Conduction system pacing showed no significant differences in procedural and fluoroscopy times and had comparable periprocedural complications. His bundle pacing demonstrated a non-significant reduction in the events of acute threshold elevation in comparison to BVP (Log odds ratio -0.69, 95% CI -2.05-0.66, I2 = 0.00; P = 0.32).

Conduction system pacing with AVNA is a safe and feasible treatment option for symptomatic (AF) patients undergoing a pace and ablate strategy, offering an alternative to BVP. Overall, CSP results in a narrower QRS duration while providing comparable clinical and echocardiographic outcomes.","Mavilakandy Akash"
"40643028","2025","Left ventricular septal pacing combined with left ventricular pacing improves acute electric resynchronization, hemodynamic responses and clinical outcomes: results of SPORT study.","Left bundle branch pacing is effective for cardiac resynchronization therapy (CRT), but the role of left ventricular septal pacing (LVSP) for CRT remains controversial due to lack of LBB capture. We hypothesized that combining LVSP with LV pacing (LVP) may provide additional benefits.

This prospective observational study enrolled consecutive patients undergoing LVSP for CRT. LVSP was acceptable if paced QRS duration (QRSd)＜130 ms or QRSd reduction ≥ 20%. If neither criterion were met, a CS-LV lead was implanted. Acute hemodynamic response (AHR) represented by LV maximum first derivative (dP/dtmax) was accessed. All patients were followed up for echocardiographic parameters, NT-proBNP levels, NYHA classes, and clinical events. The clinical outcomes included all-cause mortality, heart failure hospitalization, and ventricular tachyarrhythmias. A total of 45 patients achieved left bundle branch area pacing (LBBAP) without confirmed LBB capture were enrolled, including 25 with LVSP alone and 20 with LVSP + LVP. QRSd reduction was significantly greater in LVSP + LVP than LVSP (46.2 ± 19.2 ms vs. 32.6 ± 23.0 ms, P = 0.049). LVSP + LVP resulted in greater improvement in AHR than LVSP (20.0 ± 9.2% vs. 10.4 ± 8.2%, P＜0.001) in 10 patients. After a median follow-up of 26-month, LVEF improvement was significantly higher in LVSP + LVP than LVSP (mean difference: 3.05%; 95% CI: 0.05-6.05; P = 0.047). LVSP + LVP was also independently associated with 87% lower risk of clinical outcomes compared with LVSP [aHR: 0.13 (0.03, 0.62), P = 0.011].

LVSP combined with LVP might offer greater AHR, electrical resynchronization and as well as improved clinical outcomes than LVSP alone in patients undergoing LBBAP-CRT without LBB capture.","Xue Siyuan"
"40418659","2025","Conduction system pacing after atrioventricular junction ablation.","N/A","Leyva Francisco"
"40394990","2025","An in silico guide for ventriculo-ventricular delay programming for left bundle branch-optimized cardiac resynchronization therapy.","Left bundle branch pacing (LBBP)-optimized cardiac resynchronization therapy (LOT-CRT) can improve left ventricular (LV) activation when LBBP alone or conventional biventricular pacing are ineffective. However, the optimal programming settings for ventriculo-ventricular delay (VVD) for LOT-CRT are unknown. We aim to investigate how to optimally program VVD for LOT-CRT in the presence of various LV conduction substrates using computational modelling.

We simulated ventricular activation on 24 anatomies and validated the model against clinical data. Diffuse LV conduction system and intra-myocardial delay were simulated by slowing the conduction velocity of the LV His-Purkinje system and myocardium, respectively, alone or in combination with proximal left bundle branch block (LBBB). We simulated LOT-CRT with selective or myocardial capture (LV septal pacing, LVSP) with VVD ranging between -100 ms (LBBP/LVSP ahead) and +100 ms [LV epicardial lead (LVepiP), ahead]. Response was quantified with 95% LV activation times (LVAT95). In the presence of diffuse LV conduction system delay, the optimal VVD for LOT-CRT was always negative (LBBB: -42.5 ± 6.6 ms; no LBBB: -36.2 ± 5.6 ms), as delivering LBBP ahead of LVepiP compensates for the slow LV His-Purkinje. In the presence of LV intra-myocardial disease, the shortest LVAT95 with LOT-CRT was achieved by pacing the coronary sinus LV first (optimal VVD for LBBB: 23.3 ± 8.5 ms; no LBBB: 79.2 ± 18.0 ms). The type of capture for LOT-CRT affected the optimal VVD, with myocardial capture favouring negative VVDs (LVSP ahead).

The optimal VVD for LOT-CRT depends on the mechanism of delayed LV activation and type of capture achieved, highlighting the importance of VVD optimization.","Strocchi Marina"
"40195045","2025","Impact of myocardial phenotype on optimal atrioventricular delay settings during biventricular and left bundle branch pacing at rest and during exercise: insights from a virtual patient study.","Previous studies have not examined the role of non-electrical myocardial disease substrates in determining the optimal atrio-ventricular delay (AVD) settings. We conducted virtual patient simulations to evaluate whether myocardial disease substrates influence the acute response to AVD optimization at rest and during exercise.

The CircAdapt cardiovascular model was used to simulate various left ventricular (LV) remodelling found in cardiac resynchronization therapy candidates. We simulated electrical dyssynchrony, LV dilatation with preserved and reduced contractility, and increased LV passive stiffness. We simulated cardiac resynchronization following biventricular (BiVP) and non-selective LBB pacing (nsLBBP). The paced-AVD ranged from 220 to 40 ms. Cardiac output and heart rate were increased to simulate different levels of exercise. The optimal AVD was the one leading to the highest stroke volume (SV) and the lowest mean left atrial pressure (mLAP). At rest, in simulations with healthy myocardium the gain in SV by AVD optimization was larger compared to those with reduced contractility and stiff myocardium. However, mLAP was comparably decreased by AVD optimization in both healthy and diseased myocardium. During exercise, the optimal AVD shifted to shorter values, and mLAP was more sensitive to AVD, particularly in the presence of hypo-contractile and stiff myocardium.

Simulations show that hypocontractility and stiffness reduce the effect of AVD optimization on SV but enhance its benefit in lowering mLAP. Notably, virtual patients with stiff ventricles experience greater benefits from AVD optimization during exercise compared to resting conditions. Furthermore, nsLBBP provides more favourable improvements in mLAP than BiVP.","Manetti Claudia A"
"40163651","2025","State of the Art of Artificial Intelligence in Clinical Electrophysiology in 2025: A Scientific Statement of the European Heart Rhythm Association (EHRA) of the ESC, the Heart Rhythm Society (HRS), and the ESC Working Group on E-Cardiology.","Artificial intelligence (AI) has the potential to transform cardiac electrophysiology (EP), particularly in arrhythmia detection, procedural optimization, and patient outcome prediction. However, a standardized approach to reporting and understanding AI-related research in EP is lacking. This scientific statement aims to develop and apply a checklist for AI-related research reporting in EP to enhance transparency, reproducibility, and understandability in the field.

An AI checklist specific to EP was developed with expert input from the writing group and voted on using a modified Delphi process, leading to the development of a 29-item checklist. The checklist was subsequently applied to assess reporting practices to identify areas where improvements could be made and provide an overview of the state of the art in AI-related EP research in three domains from May 2021 until May 2024: atrial fibrillation (AF) management, sudden cardiac death (SCD), and EP lab applications. The EHRA AI checklist was applied to 31 studies in AF management, 18 studies in SCD, and 6 studies in EP lab applications. Results differed between the different domains, but in no domain reporting of a specific item exceeded 55% of included papers. Key areas such as trial registration, participant details, data handling, and training performance were underreported (<20%). The checklist application highlighted areas where reporting practices could be improved to promote clearer, more comprehensive AI research in EP.

The EHRA AI checklist provides a structured framework for reporting AI research in EP. Its use can improve understanding but also enhance the reproducibility and transparency of AI studies, fostering more robust and reliable integration of AI into clinical EP practice.","Svennberg Emma"
"40159278","2025","European Society of Cardiology (ESC) clinical consensus statement on indications for conduction system pacing, with special contribution of the European Heart Rhythm Association of the ESC and endorsed by the Asia Pacific Heart Rhythm Society, the Canadian Heart Rhythm Society, the Heart Rhythm Society, and the Latin American Heart Rhythm Society.","Conduction system pacing (CSP) is being increasingly adopted as a more physiological alternative to right ventricular and biventricular pacing. Since the 2021 European Society of Cardiology pacing guidelines, there has been growing evidence that this therapy is safe and effective. Furthermore, left bundle branch area pacing was not covered in these guidelines due to limited evidence at that time. This Clinical Consensus Statement provides advice on indications for CSP, taking into account the significant evolution in this domain.","Glikson Michael"
"40103312","2025","Late arrhythmic burden in patients with left bundle branch block after TAVR with the Evolut valve.","Arrhythmic burden after discharge in patients with new-onset persistent left bundle branch block (NOP-LBBB) following transcatheter aortic valve replacement (TAVR) with Evolut devices remains largely unknown. The aim of this study is to assess the incidence and type of arrhythmias at 2-year follow-up in patients with NOP-LBBB post-TAVR.

This is a prospective multicentre study including 88 patients with LBBB persisting for ≥3 days post-implantation. Before discharge, an implantable loop recorder (REVEAL XT/LINQ) was implanted; patients had continuous monitoring for 2 years. Arrhythmic events were adjudicated in a central core lab. Of the arrhythmic events, 411 were detected in 58 patients [65.9%; 2 (1-4) events per patient]. Symptoms were reported in 12/58 (20.7%), and therapy was changed in 25/58 (43.1%). There were 101 bradyarrhythmic events in 33 patients [35 high-grade atrioventricular block (HAVB) and 66 severe bradycardia]. The HAVB incidence was higher in the early (4-week) phase and remained stable over time, whereas severe bradycardia increased after 1 year. Permanent pacemaker was required in 11 (12.5%) patients (6.8% and 5.7% in the first and second year, respectively). There were 310 tachyarrhythmic events in 29 patients (120 AF/AFL, 111 AT, 72 SVT, 6 NSVT, and 1 VT); its incidence decreased throughout the 2 years. New AF/AFL episodes occurred in 20/69 patients [29%; symptomatic in 2/20 (10%)].

Patients with NOP-LBBB post-TAVR with Evolut devices exhibited a high burden of late arrhythmias, with events occurring in two-thirds of patients and leading to treatment changes in about half of them. These data should inform future studies on cardiac monitoring devices for follow-up and treatment optimization in this challenging population.","Mas-Peiro Silvia"
