"PMID","Year","Title","Abstract","FirstAuthor"
"39624901","2024","Artificial Intelligence-Based Feature Analysis of Pulmonary Vein Morphology on Computed Tomography Scans and Risk of Atrial Fibrillation Recurrence After Catheter Ablation: A Multi-Site Study.","Atrial fibrillation (AF) recurrence is common after catheter ablation. Pulmonary vein (PV) isolation is the cornerstone of AF ablation, but PV remodeling has been associated with the risk of AF recurrence. We aimed to evaluate whether artificial intelligence-based morphological features of primary and secondary PV branches on computed tomography images are associated with AF recurrence post-ablation. Two artificial intelligence models were trained for the segmentation of computed tomography images, enabling the isolation of PV branches. Patients from Cleveland Clinic (N=135) and Vanderbilt University (N=594) were combined and divided into 2 sets for training and cross-validation (D, n=218) and internal testing (D, n=511). An independent validation set (D, N=80) was obtained from University Hospitals of Cleveland. We extracted 48 fractal-based and 12 shape-based radiomic features from primary and secondary PV branches of patients with AF recurrence (AF+) and without recurrence after catheter ablation of AF (AF-). To predict AFrecurrence, 3 Gradient Boosting classification models based on significant features from primary (M), secondary (M), and combined (M) PV branches were built. Features relating to primary PVs were found to be associated with AF recurrence. The Mclassifier achieved area under the curve values of 0.73, 0.71, and 0.70 across the 3 datasets. AF+ cases exhibited greater surface complexity in their primary PV area, as evidenced by higher fractal dimension values compared with AF- cases. The Mclassifier results revealed a weaker association with AF+, suggesting higher relevance to AF recurrence post-ablation from primary PV branch morphology. This largest multi-institutional study to date revealed associations between artificial intelligence-extracted morphological features of the primary PV branches with AF recurrence in 809 patients from 3 sites. Future work will focus on enhancing the predictive ability of the classifier by integrating clinical, structural, and morphological features, including left atrial appendage and left atrium-related characteristics.","Asaeikheybari Golnoush"
"39611251","2024","Comparison of Procedural Outcomes of Lumenless Fixed-Helix Versus Stylet-Driven Extendable-Helix Lead Systems in Left Bundle Branch Pacing: COMPARE LBBP.","Left bundle branch pacing (LBBP) has emerged as a safe and effective alternative to right ventricular pacing. Traditionally, LBBP is performed with lumenless lead (LLL); however, the use of stylet-driven lead (SDL) is on rise. We aimed to assess acute success and procedural outcomes of SDL versus LLL for LBBP. One hundred consecutive patients with bradyarrhythmia, indication of cardiac resynchronization therapy, or ablate and pace strategy were randomized in a 1:1 fashion to the SDL and LLL arms. Tendril STS lead with a CPS Locator 3D catheter and SelectSecure 3830 lead with a C315HIS catheter were used in the SDL and LLL arms, respectively. LBBP was confirmed by standard criteria with measurements done on Labsystem Pro. Patients in the LLL arm were significantly younger (71.9±11 versus 76.4±8.9 years;=0.02); all other baseline characteristics were not significantly different. Acute success in LBBP was similar with SDL versus LLL (90% versus 92%;=0.7). In patients with successful LBBP, screw attempts were not significantly different between the groups (2.3±1.7 in SDL versus 1.9±1.3 in LLL;=0.2). Implant duration (11±9.6 versus 9.9±7.1 minutes;=0.4), mean fluoroscopy dose (65.3±82.7 versus 53.5±50.5 mGy;=0.5), and fluoroscopy time (7.8±4.8 versus 7.4±4 minutes;=0.7) were also not different in the SDL versus the LLL arm, respectively. Incidence of lead failure (=0.6), microdislodgement (=1), and macrodislodgement (=0.6) were not significantly different. Pacing threshold was comparable at implant and on follow-up at 1, 3, and 6 months. LBBP was feasible with both lead systems with similar success rate and low capture threshold. No significant difference was observed in procedure duration or fluoroscopy use. No major complications were recorded with either lead. URL: https://www.anzctr.org.au; Unique identifier: ACTRN12624000304538.","Shroff Jenish P"
"39445440","2024","Using Atrial Fibrillation Burden Trends and Machine Learning to Predict Near-Term Risk of Cardiovascular Hospitalization.","Atrial fibrillation is associated with an increased risk of cardiovascular hospitalization (CVH), which may be triggered by changes in daily burden. Machine learning of dynamic trends in atrial fibrillation burden, as measured by insertable cardiac monitors (ICMs), may be useful in predicting near-term CVH. Using Optum's deidentified Clinformatics Data Mart Database (2007-2019), linked with the Medtronic CareLink ICM database, we identified patients with >1 days of ICM-detected atrial fibrillation. ICM-detected diagnostic parameters were transformed into simple moving averages over different periods for daily follow-up. A diagnostic trend was defined as the comparison of 2 simple moving averages of different periods for each diagnostic parameter. CVH was defined as any hospital, emergency department, or ambulatory surgical center encounter with a cardiovascular diagnosis-related group or diagnosis code. Machine learning was used to determine which diagnostic trends could best predict patient risk 5 days before CVH. A total of 2616 patients with ICMs met the inclusion criteria (71±11 years; 55% male). Among them, 1998 (76%) had a planned or unplanned CVH over 605 363 days. Machine learning revealed distinct groups: (A) sinus rhythm (reference), (B) below-average burden, (C) above-average burden, and (D) above-average burden with decreasing patient activity. The relative risk was increased in all groups versus the reference (B, 4.49 [95% CI, 3.74-5.40]; C, 8.41 [95% CI, 7.00-10.11]; D, 11.15 [95% CI, 9.10-13.65]), including a 21% increase in CVH detection over prespecified burden thresholds of duration (≥1 hour) and quantity (≥5%). The area under the receiver operating characteristic curve increased from 0.55 when using hourly burden amounts to 0.66 when using burden trends and decreasing patient activity (<0.001), a 20% increase in predictive power. Trends in atrial fibrillation were strongly associated with near-term CVH, especially above-average burden coupled with low patient activity. This approach could provide actionable information to guide treatment and reduce CVH.","Peacock James"
"39440428","2024","Multicenter Hemodynamic Assessment of the LOT-CRT Strategy: When Does Combining Left Bundle Branch Pacing and Coronary Venous Pacing Enhance Resynchronization?: Primary Results of the CSPOT Study.","Left bundle branch area pacing (LBBAP) may be an alternative to biventricular pacing (BVP) for cardiac resynchronization therapy (CRT). We sought to compare the acute hemodynamic and ECG effects of LBBAP, BVP, and left bundle-optimized therapy CRT (LOT-CRT) in CRT candidates with advanced conduction disease. In this multicenter study, 48 patients with either nonspecific interventricular conduction delay (n=29) or left bundle branch block (n=19) underwent acute hemodynamic testing to determine the change in left ventricular pressure maximal first derivative (LV d/d) from baseline atrial pacing to BVP, LBBAP, or LOT-CRT. Atrioventricular-optimized increases in LV d/dfor LOT-CRT (mean, 25.8% [95% CI, 20.9%-30.7%]) and BVP (26.4% [95% CI, 20.2%-32.6%]) were greater than unipolar LBBAP (19.3% [95% CI, 15.0%-23.7%]) or bipolar LBBAP (16.4% [95% CI, 12.7%-20.0%];≤0.005). QRS shortening was greater in LOT-CRT (29.5 [95% CI, 23.4-35.6] ms) than unipolar LBBAP (11.9 [95% CI, 6.1-17.7] ms), bipolar LBBAP (11.7 ms [95% CI, 6.4-17.0]), or BVP (18.5 [95% CI, 11.0-25.9] ms), all≤0.005. Compared with patients with left bundle branch block, patients with interventricular conduction delay experienced less QRS reduction (=0.026) but similar improvements in LV d/d(=0.29). Bipolar LBBAP caused anodal capture in 54% of patients and resulted in less LV d/dimprovement than unipolar LBBAP (18.6% versus 23.7%;<0.001). Subclassification of LBBAP capture (European Heart Rhythm Association criteria) indicated LBBAP or LV septal pacing in 27 patients (56%) and deep septal pacing in 21 patients (44%). The hemodynamic benefit of adding left ventricular coronary vein pacing to LBBAP depended on baseline QRS duration (=0.031) and success of LBBAP (<0.004): LOT-CRT provided 14.5% (5.0%-24.1%) greater LV d/dimprovement and 20.8 (12.8-28.8) ms greater QRS shortening than LBBAP in subjects with QRS ≥171 ms and deep septal pacing capture type. In a CRT cohort with advanced conduction disease, LOT-CRT and BVP provided greater acute hemodynamic benefit than LBBAP. Subjects with wider QRS or deep septal pacing are more likely to benefit from the addition of a left ventricular coronary vein lead to implement LOT-CRT. URL: https://www.clinicaltrials.gov; Unique identifier: NCT04905290.","Jastrzębski Marek"
"39193715","2024","Electrocardiogram-Based Artificial Intelligence to Discriminate Cardioembolic Stroke and Stratify Risk of Atrial Fibrillation After Stroke.","N/A","Khurshid Shaan"
"38284289","2024","Artificial Intelligence Model Predicts Sudden Cardiac Arrest Manifesting With Pulseless Electric Activity Versus Ventricular Fibrillation.","There is no specific treatment for sudden cardiac arrest (SCA) manifesting as pulseless electric activity (PEA) and survival rates are low; unlike ventricular fibrillation (VF), which is treatable by defibrillation. Development of novel treatments requires fundamental clinical studies, but access to the true initial rhythm has been a limiting factor. Using demographics and detailed clinical variables, we trained and tested an AI model (extreme gradient boosting) to differentiate PEA-SCA versus VF-SCA in a novel setting that provided the true initial rhythm. A subgroup of SCAs are witnessed by emergency medical services personnel, and because the response time is zero, the true SCA initial rhythm is recorded. The internal cohort consisted of 421 emergency medical services-witnessed out-of-hospital SCAs with PEA or VF as the initial rhythm in the Portland, Oregon metropolitan area. External validation was performed in 220 emergency medical services-witnessed SCAs from Ventura, CA. In the internal cohort, the artificial intelligence model achieved an area under the receiver operating characteristic curve of 0.68 (95% CI, 0.61-0.76). Model performance was similar in the external cohort, achieving an area under the receiver operating characteristic curve of 0.72 (95% CI, 0.59-0.84). Anemia, older age, increased weight, and dyspnea as a warning symptom were the most important features of PEA-SCA; younger age, chest pain as a warning symptom and established coronary artery disease were important features associated with VF. The artificial intelligence model identified novel features of PEA-SCA, differentiated from VF-SCA and was successfully replicated in an external cohort. These findings enhance the mechanistic understanding of PEA-SCA with potential implications for developing novel management strategies.","Holmstrom Lauri"
"37582165","2023","Correction to: New-Onset Atrial Fibrillation in Left Bundle Branch Area Pacing Compared With Right Ventricular Pacing.","N/A","N/A"
"37577815","2023","Electrical Resynchronization and Clinical Outcomes During Long-Term Follow-Up in Intraventricular Conduction Delay Patients Applied Left Bundle Branch Pacing-Optimized Cardiac Resynchronization Therapy.","Left bundle branch-optimized cardiac resynchronization therapy (LOT-CRT) has shown encouraging results for QRS duration reduction and heart function improvement. However, the feasibility and efficacy of LOT-CRT have not been well established in intraventricular conduction delay patients. This study aims to assess and compare the efficacy and clinical outcome of CRT based on left bundle branch pacing, combined with coronary sinus left ventricular pacing (LOT-CRT) with CRT via biventricular pacing (BiV-CRT) in intraventricular conduction delay patients indicated for CRT. Consecutive patients with intraventricular conduction delay and CRT indications were assigned nonrandomized to LOT-CRT (n=30) or BiV-CRT (n=55). Addition of the left bundle branch pacing (or coronary venous) lead was at the discretion of the implanting physician guided by suboptimal paced QRS complex and on clinical grounds. Echocardiographic parameters and clinical characteristics were accessed at baseline and during 2-years' follow-up. Success rate for LOT-CRT and BiV-CRT was 96.8% and 96.4%. LOT-CRT had greater reduction of QRS duration compared with BiV-CRT (42.7±17.4 ms versus 21.9±21.5 ms;<0.001). Higher left ventricular ejection fraction was also achieved in LOT-CRT than BiV-CRT at 6-month (36.7±9.8% versus 30.5±6.4%;<0.05), 12-month (34.8±7.6% versus 30.3±6.2%;<0.05), 18-month (36.3±7.9% versus 28.1±6.6%;<0.005), and 24-month follow-up (37±9.5% versus 30.5±7%;<0.05). Adverse clinical outcomes including heart failure rehospitalization and mortality were lower in LOT-CRT group for 24 months follow-up (hazard ratio, 0.33;=0.035). LOT-CRT improves ventricular electrical synchrony and may provide greater clinical outcomes as compared with BiV-CRT in intraventricular conduction delay patients. These findings need further evaluation in future randomized controlled trials.","Chen Xueying"
"37565338","2023","Artificial Intelligence-Enabled Electrocardiogram in the Detection of Patients at Risk of Atrial Secondary Mitral Regurgitation.","N/A","Naser Jwan A"
"37334705","2023","Evaluating Recommendations About Atrial Fibrillation for Patients and Clinicians Obtained From Chat-Based Artificial Intelligence Algorithms.","N/A","Azizi Zahra"
"37334682","2023","Real-World Performance of Conduction System Pacing Compared With Traditional Pacing.","N/A","Kron Jordana"
"36924221","2023","Intracardiac Echocardiography-Guided Implantation for Proximal Left Bundle Branch Pacing.","Multiple screw-in attempts under fluoroscopy are often needed to place the pacing lead tip near or at the left bundle branch (LBB). This study was conducted to evaluate the feasibility of implanting an LBB pacing lead in the proximal LBB (PLBB) guided by intracardiac echocardiography (ICE). The distribution of the LBB was initially determined by ICE anatomic imaging and 3-dimensional electrical mapping of His and LBB potentials in 20 patients in the first parts of the study. In the second part, 101 consecutive pacemaker-indicated patients were randomized into the ICE-guided and non-ICE groups for LBB pacing implantation. The procedural details and electrophysiological characteristics of the 2 groups were compared. In the first part of the study, PLBB was identified at 10 to 20 mm from the tricuspid annulus toward the apex with an area of 4.5±1.1 cm. In the second part, the number of lead screw-in attempts in the septum was fewer in the ICE group than in the non-ICE group (1.43±0.62 versus 1.98±0.75, P=0.0002). The duration of the procedure (26±8 versus 43±9 minutes, P<0.001) and fluoroscopy for LBB pacing implantation (7.4±1.8 versus 10.7±2.4 minutes, P<0.001) in the ICE group was significantly shorter than those in the non-ICE group. LBB pacing in the ICE group generated a lesser QRS duration with more cases of LBB trunk pacing (46.8% versus 25%, P=0.031) and PLBB (91.5% versus 72.7%, P=0.0267) pacing compared with that in the non-ICE group. The basal left ventricular septum can be better visualized using ICE. ICE-guided PLBB pacing is feasible and safe, with a shorter duration required for the procedure and fluoroscopy, and generates greater LBB trunk pacing and PLBB pacing.","Kuang XiaoHui"
"36716179","2023","Deep Learning of ECG for the Prediction of Postoperative Atrial Fibrillation.","N/A","Tohyama Takeshi"
